Timestamp, EPC, Antenna, RSSI, Channel, Address
1579699702897021,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699702919896,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699702951407,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699702957564,245390003868,3,-61.5,865.7,192.168.0.10
1579699702975300,245390003869,3,-61.5,865.7,192.168.0.10
1579699702993183,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699702994771,245390003868,3,-62,865.7,192.168.0.10
1579699703020167,245390003869,3,-61.5,865.7,192.168.0.10
1579699703039548,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699703041112,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703042235,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579699703070296,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703072889,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699703073998,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579699703163369,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699703184181,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699703211427,245390003868,3,-62,865.7,192.168.0.10
1579699703216895,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699703245250,245390003868,3,-61.5,865.7,192.168.0.10
1579699703247956,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699703282945,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699703284670,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703286004,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579699703311040,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703312749,300000000000000000017857,4,-58,865.7,192.168.0.10
1579699703316333,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579699703406433,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699703431687,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699703469524,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699703470672,245390003868,3,-62,865.7,192.168.0.10
1579699703472756,245390003869,3,-60.5,865.7,192.168.0.10
1579699703498807,245390003869,3,-60.5,865.7,192.168.0.10
1579699703503984,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699703522425,245390003868,3,-62.5,865.7,192.168.0.10
1579699703544005,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699703546484,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703548975,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579699703576973,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699703578435,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699703580361,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703678224,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699703699556,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699703733338,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699703734519,245390003869,3,-60.5,865.7,192.168.0.10
1579699703738518,245390003868,3,-62,865.7,192.168.0.10
1579699703758747,245390003869,3,-61.5,865.7,192.168.0.10
1579699703775895,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699703787519,245390003869,3,-62,865.7,192.168.0.10
1579699703805740,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703807527,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579699703811669,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699703830166,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699703833069,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579699703834819,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699703930045,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699703958681,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699703995723,245390003869,3,-60.5,865.7,192.168.0.10
1579699703997899,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699703999501,245390003868,3,-61,865.7,192.168.0.10
1579699704024541,245390003869,3,-60.5,865.7,192.168.0.10
1579699704025879,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
