Timestamp, EPC, Antenna, RSSI, Channel, Address
1579700548432191,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700548455062,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700548484992,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700548511691,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700548542053,245390003868,3,-61,865.7,192.168.0.10
1579700548544607,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700548584868,245390003868,3,-61,865.7,192.168.0.10
1579700548586791,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700548618592,300000000000000000017882,4,-57,865.7,192.168.0.10
1579700548624096,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700548625177,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700548650563,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700548652719,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700548653867,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700548690668,300000000000000000017859,1,-54.5,865.7,192.168.0.10
1579700548720129,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700548756821,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700548783363,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700548817996,245390003868,3,-61,865.7,192.168.0.10
1579700548820900,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579700548849277,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700548852860,245390003868,3,-61,865.7,192.168.0.10
1579700548886380,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579700548887475,300000000000000000017857,4,-58,865.7,192.168.0.10
1579700548888858,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700548915229,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700548916877,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700548918555,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700548956269,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700548981325,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700549008491,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700549037221,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700549065828,245390003868,3,-61.5,865.7,192.168.0.10
1579700549067081,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579700549094527,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579700549096333,245390003868,3,-61.5,865.7,192.168.0.10
1579700549129567,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700549132119,300000000000000000017882,4,-57,865.7,192.168.0.10
1579700549134124,300000000000000000017857,4,-58,865.7,192.168.0.10
1579700549154329,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700549156000,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700549157351,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700549193797,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700549209876,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700549233964,300000000000000000017859,1,-54.5,865.7,192.168.0.10
1579700549293713,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700549327046,245390003868,3,-60.5,865.7,192.168.0.10
1579700549329867,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700549355705,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700549359075,245390003868,3,-60.5,865.7,192.168.0.10
1579700549393997,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700549395346,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579700549399184,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700549425914,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579700549427632,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700549430269,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700549464528,300000000000000000017859,1,-54.5,865.7,192.168.0.10
1579700549486869,300000000000000000017859,1,-54.5,865.7,192.168.0.10
