Timestamp, EPC, Antenna, RSSI, Channel, Address
1579699398816988,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699398846169,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699398881017,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699398885020,245390003868,3,-61.5,865.7,192.168.0.10
1579699398894264,245390003869,3,-62.5,865.7,192.168.0.10
1579699398920260,245390003868,3,-61.5,865.7,192.168.0.10
1579699398921361,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699398957492,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699398959226,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699398961407,30000000000000000001785D,4,-59.5,865.7,192.168.0.10
1579699398986597,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699398988346,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699398991653,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699399052328,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699399118046,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699399152806,245390003868,3,-61.5,865.7,192.168.0.10
1579699399155354,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699399180656,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699399184640,245390003868,3,-61.5,865.7,192.168.0.10
1579699399213641,245390003869,3,-62.5,865.7,192.168.0.10
1579699399240082,30000000000000000001785D,4,-59.5,865.7,192.168.0.10
1579699399241201,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699399243581,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699399268344,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699399272751,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699399274045,30000000000000000001785D,4,-59.5,865.7,192.168.0.10
1579699399329009,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699399363262,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699399389740,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699399422673,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699399447766,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699399450308,245390003868,3,-61.5,865.7,192.168.0.10
1579699399477857,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699399480517,245390003868,3,-61.5,865.7,192.168.0.10
1579699399513964,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699399517304,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699399519254,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699399544087,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579699399548803,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699399549910,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699399608980,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699399634821,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699399668457,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699399696246,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699399725413,245390003868,3,-61.5,865.7,192.168.0.10
1579699399727173,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699399752947,245390003868,3,-61.5,865.7,192.168.0.10
1579699399756239,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699399789128,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579699399790533,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699399793196,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699399821493,300000000000000000017882,4,-59,865.7,192.168.0.10
1579699399822615,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699399825289,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699399871405,245390003868,1,-69,865.7,192.168.0.10
1579699399881078,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699399928345,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699399935770,245390003868,1,-69,865.7,192.168.0.10
1579699399970871,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699399993376,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699400025704,245390003868,3,-61,865.7,192.168.0.10
1579699400027227,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699400054124,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699400059692,245390003868,3,-61,865.7,192.168.0.10
1579699400090119,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699400092523,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400096371,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699400116128,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699400118620,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579699400120084,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400177847,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699400219135,300000000000000000017882,1,-63,865.7,192.168.0.10
1579699400241990,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699400267883,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699400297098,245390003868,3,-61.5,865.7,192.168.0.10
1579699400298593,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579699400326394,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699400328596,245390003868,3,-61.5,865.7,192.168.0.10
1579699400362579,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579699400363689,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400365878,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699400391353,300000000000000000017857,4,-56.5,865.7,192.168.0.10
1579699400393503,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400394871,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699400492746,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699400518599,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699400554787,245390003868,3,-61.5,865.7,192.168.0.10
1579699400556437,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699400581182,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699400584086,245390003868,3,-62,865.7,192.168.0.10
1579699400616616,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699400619516,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400621498,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699400646420,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699400650420,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400651817,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699400752525,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699400780740,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699400805947,245390003868,3,-60.5,865.7,192.168.0.10
1579699400808459,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699400837945,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699400839806,245390003868,3,-60,865.7,192.168.0.10
1579699400865689,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699400868968,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699400870103,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400894358,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699400895934,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699400898153,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699400955737,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579699400997155,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579699401020409,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699401050447,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699401079243,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699401081293,245390003868,3,-60.5,865.7,192.168.0.10
1579699401107268,245390003868,3,-60.5,865.7,192.168.0.10
1579699401108963,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699401143551,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699401146035,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699401148428,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699401172180,30000000000000000001785D,4,-60,865.7,192.168.0.10
