Timestamp, EPC, Antenna, RSSI, Channel, Address
1579701523310749,300000000000000000017882,2,-56,865.7,192.168.0.10
1579701523329191,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579701523364572,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701523368863,245390003868,3,-60.5,865.7,192.168.0.10
1579701523395808,245390003868,3,-61,865.7,192.168.0.10
1579701523396920,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701523430400,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701523431791,300000000000000000017857,4,-58,865.7,192.168.0.10
1579701523434470,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701523463662,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701523464956,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701523466593,300000000000000000017857,4,-58,865.7,192.168.0.10
1579701523560611,300000000000000000017882,2,-56,865.7,192.168.0.10
1579701523589094,300000000000000000017882,2,-56,865.7,192.168.0.10
1579701523616450,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701523617999,245390003868,3,-60.5,865.7,192.168.0.10
1579701523643101,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701523645659,245390003868,3,-60.5,865.7,192.168.0.10
1579701523681400,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701523683630,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701523685380,300000000000000000017857,4,-58,865.7,192.168.0.10
1579701523710386,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701523713079,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579701523714758,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579701523802088,300000000000000000017882,2,-56,865.7,192.168.0.10
1579701523827038,300000000000000000017882,2,-56,865.7,192.168.0.10
1579701523862933,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701523865848,245390003868,3,-61,865.7,192.168.0.10
1579701523893845,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701523895892,245390003868,3,-61,865.7,192.168.0.10
1579701523922235,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701523924412,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701523926676,300000000000000000017857,4,-58,865.7,192.168.0.10
1579701523952742,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579701523954649,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701523956874,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701524012133,300000000000000000017882,1,-63,865.7,192.168.0.10
1579701524055152,300000000000000000017882,1,-63,865.7,192.168.0.10
1579701524077256,300000000000000000017882,2,-56,865.7,192.168.0.10
1579701524104198,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579701524139334,245390003868,3,-61,865.7,192.168.0.10
1579701524141356,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701524167652,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579701524168630,245390003868,3,-61,865.7,192.168.0.10
1579701524206822,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701524208572,300000000000000000017857,4,-58,865.7,192.168.0.10
1579701524209666,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701524235639,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579701524236704,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701524239475,300000000000000000017857,4,-58,865.7,192.168.0.10
1579701524328653,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579701524347699,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579701524384088,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579701524387007,245390003868,3,-61.5,865.7,192.168.0.10
1579701524413699,245390003868,3,-61.5,865.7,192.168.0.10
1579701524415177,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579701524441102,300000000000000000017857,4,-58.5,865.7,192.168.0.10
