Timestamp, EPC, Antenna, RSSI, Channel, Address
1579699467491313,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699467522584,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699467556555,245390003868,3,-61,865.7,192.168.0.10
1579699467557957,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699467570849,245390003869,3,-62,865.7,192.168.0.10
1579699467592846,245390003868,3,-61.5,865.7,192.168.0.10
1579699467598795,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699467613946,245390003869,3,-62,865.7,192.168.0.10
1579699467641215,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579699467643706,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699467644988,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699467672529,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699467675398,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699467685690,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699467786399,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699467816441,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699467851970,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699467855017,245390003868,3,-61.5,865.7,192.168.0.10
1579699467866531,245390003869,3,-62,865.7,192.168.0.10
1579699467886956,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699467891935,245390003868,3,-61.5,865.7,192.168.0.10
1579699467910922,245390003869,3,-61.5,865.7,192.168.0.10
1579699467936288,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699467938254,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699467941317,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699467961933,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699467963127,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699467964276,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699468022800,300000000000000000017882,1,-63.5,865.7,192.168.0.10
1579699468051920,300000000000000000017882,1,-63.5,865.7,192.168.0.10
1579699468083102,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579699468110553,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699468143174,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699468144640,245390003869,3,-61,865.7,192.168.0.10
1579699468148096,245390003868,3,-61,865.7,192.168.0.10
1579699468169774,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699468171082,245390003868,3,-61,865.7,192.168.0.10
1579699468207507,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699468208644,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699468210017,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699468236937,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699468239684,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699468240809,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699468343267,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699468367301,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699468395048,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699468396523,245390003868,3,-61,865.7,192.168.0.10
1579699468423895,245390003868,3,-61,865.7,192.168.0.10
1579699468426334,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699468438521,245390003869,3,-62,865.7,192.168.0.10
1579699468466180,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699468467703,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699468472170,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699468495819,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699468498281,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699468501879,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699468594231,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699468621981,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699468657184,245390003868,3,-60.5,865.7,192.168.0.10
1579699468659405,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699468687156,245390003868,3,-61,865.7,192.168.0.10
1579699468690578,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699468723415,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699468724868,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699468726217,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699468752681,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699468756006,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699468757602,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699468858204,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699468887971,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699468922312,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699468924425,245390003868,3,-61,865.7,192.168.0.10
1579699468941550,245390003869,3,-62,865.7,192.168.0.10
1579699468963270,245390003868,3,-61.5,865.7,192.168.0.10
1579699468965263,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699468976067,245390003869,3,-62,865.7,192.168.0.10
1579699469005827,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699469007063,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699469009281,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699469035947,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699469038178,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579699469040756,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699469124557,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699469154925,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699469191531,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579699469192793,245390003868,3,-61,865.7,192.168.0.10
1579699469208097,245390003869,3,-62,865.7,192.168.0.10
1579699469226410,245390003868,3,-61.5,865.7,192.168.0.10
1579699469231971,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699469242209,245390003869,3,-62.5,865.7,192.168.0.10
1579699469265659,300000000000000000017857,4,-57,865.7,192.168.0.10
1579699469267055,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699469268891,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699469294080,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699469296822,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699469299958,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579699469398026,300000000000000000017882,2,-56.5,865.7,192.168.0.10
1579699469424979,300000000000000000017882,2,-56,865.7,192.168.0.10
1579699469455457,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699469503072,245390003869,3,-61.5,865.7,192.168.0.10
1579699469510553,245390003868,3,-61.5,865.7,192.168.0.10
1579699469521702,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579699469526430,245390003868,3,-61,865.7,192.168.0.10
1579699469535319,245390003869,3,-61.5,865.7,192.168.0.10
1579699469565674,300000000000000000017882,4,-58,865.7,192.168.0.10
1579699469568680,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579699469570140,30000000000000000001785D,4,-60,865.7,192.168.0.10
1579699469599675,300000000000000000017857,4,-57,865.7,192.168.0.10
