Timestamp, EPC, Antenna, RSSI, Channel, Address
1579701028903148,300000000000000000017859,1,-54.5,865.7,192.168.0.10
1579701028924103,300000000000000000017859,1,-55,865.7,192.168.0.10
1579701028959867,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579701028978637,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579701029016101,245390003869,3,-60.5,865.7,192.168.0.10
1579701029019024,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579701029040045,245390003868,3,-62.5,865.7,192.168.0.10
1579701029051388,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579701029055869,245390003868,3,-62,865.7,192.168.0.10
1579701029057094,245390003869,3,-60.5,865.7,192.168.0.10
1579701029090586,300000000000000000017857,4,-57,865.7,192.168.0.10
1579701029091710,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579701029094370,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701029119077,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579701029123570,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701029124864,300000000000000000017857,4,-57,865.7,192.168.0.10
1579701029160769,300000000000000000017859,1,-55,865.7,192.168.0.10
1579701029186973,300000000000000000017859,1,-55,865.7,192.168.0.10
1579701029224998,300000000000000000017882,2,-55,865.7,192.168.0.10
1579701029252950,300000000000000000017882,2,-55,865.7,192.168.0.10
1579701029285584,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579701029286906,245390003868,3,-61,865.7,192.168.0.10
1579701029316196,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579701029317742,245390003868,3,-61.5,865.7,192.168.0.10
1579701029342078,245390003869,3,-61.5,865.7,192.168.0.10
1579701029361518,300000000000000000017857,4,-57,865.7,192.168.0.10
1579701029364781,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579701029389434,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579701029398872,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579701029402740,300000000000000000017857,4,-57,865.7,192.168.0.10
1579701029404138,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579701029440762,300000000000000000017859,1,-55,865.7,192.168.0.10
1579701029463696,300000000000000000017859,1,-55,865.7,192.168.0.10
1579701029489581,300000000000000000017882,2,-55,865.7,192.168.0.10
1579701029519833,300000000000000000017882,2,-55,865.7,192.168.0.10
1579701029551991,245390003868,3,-61.5,865.7,192.168.0.10
1579701029553114,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579701029570126,245390003869,3,-61.5,865.7,192.168.0.10
1579701029592297,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579701029604660,245390003868,3,-63,865.7,192.168.0.10
1579701029617356,245390003869,3,-62.5,865.7,192.168.0.10
1579701029642114,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579701029645906,300000000000000000017857,4,-57,865.7,192.168.0.10
1579701029659607,30000000000000000001785D,4,-62,865.7,192.168.0.10
1579701029681275,300000000000000000017857,4,-57,865.7,192.168.0.10
1579701029683257,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579701029703185,30000000000000000001785D,4,-62,865.7,192.168.0.10
1579701029757530,300000000000000000017859,1,-56.5,865.7,192.168.0.10
1579701029795484,300000000000000000017859,1,-57,865.7,192.168.0.10
1579701029814576,300000000000000000017882,2,-55,865.7,192.168.0.10
1579701029843100,300000000000000000017882,2,-55,865.7,192.168.0.10
1579701029881451,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579701029898745,245390003868,3,-63.5,865.7,192.168.0.10
1579701029906170,245390003869,3,-61.5,865.7,192.168.0.10
1579701029923431,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579701029924640,245390003869,3,-60.5,865.7,192.168.0.10
1579701029952582,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579701029954819,300000000000000000017857,4,-57,865.7,192.168.0.10
1579701029956766,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701029982298,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579701029985107,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579701029987256,300000000000000000017882,4,-58.5,865.7,192.168.0.10
