Timestamp, EPC, Antenna, RSSI, Channel, Address
1579696510153785,300000000000000000017882,2,-57.5,865.7,192.168.0.10
1579696510187082,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696510208535,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696510255454,300000000000000000017882,4,-62,865.7,192.168.0.10
1579696510287095,300000000000000000017857,4,-59.5,865.7,192.168.0.10
1579696510303625,300000000000000000017882,4,-61.5,865.7,192.168.0.10
1579696510376005,300000000000000000017882,2,-57.5,865.7,192.168.0.10
1579696510397470,300000000000000000017882,2,-57.5,865.7,192.168.0.10
1579696510434424,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696510457186,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696510506403,300000000000000000017857,4,-59.5,865.7,192.168.0.10
1579696510516084,300000000000000000017882,4,-61.5,865.7,192.168.0.10
1579696510558691,300000000000000000017882,4,-62,865.7,192.168.0.10
1579696510568653,300000000000000000017857,4,-60,865.7,192.168.0.10
1579696510640294,300000000000000000017882,2,-57.5,865.7,192.168.0.10
1579696510673019,300000000000000000017882,2,-58,865.7,192.168.0.10
1579696510706675,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696510732910,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696510778794,300000000000000000017857,4,-60,865.7,192.168.0.10
1579696510818704,300000000000000000017857,4,-59.5,865.7,192.168.0.10
1579696510901083,300000000000000000017882,2,-58,865.7,192.168.0.10
1579696510930393,300000000000000000017882,2,-57.5,865.7,192.168.0.10
1579696510966206,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696510986615,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696511031824,300000000000000000017857,4,-59.5,865.7,192.168.0.10
1579696511046672,300000000000000000017882,4,-61.5,865.7,192.168.0.10
1579696511083717,300000000000000000017857,4,-59.5,865.7,192.168.0.10
1579696511095052,300000000000000000017882,4,-61.5,865.7,192.168.0.10
1579696511167227,300000000000000000017882,2,-57.5,865.7,192.168.0.10
1579696511197403,300000000000000000017882,2,-58,865.7,192.168.0.10
1579696511231935,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696511261969,30000000000000000001785A,3,-55,865.7,192.168.0.10
