Timestamp, EPC, Antenna, RSSI, Channel, Address
1579696871284542,245390003868,1,-61.5,865.7,192.168.0.10
1579696871285595,245390003869,1,-58,865.7,192.168.0.10
1579696871303388,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696871328392,245390003869,1,-58,865.7,192.168.0.10
1579696871337150,245390003868,1,-63,865.7,192.168.0.10
1579696871346892,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579696871366025,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696871396001,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696871427721,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696871434512,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696871445656,300000000000000000017882,3,-63,865.7,192.168.0.10
1579696871450192,245390003869,3,-62,865.7,192.168.0.10
1579696871465569,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696871467052,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696871479090,300000000000000000017882,3,-63,865.7,192.168.0.10
1579696871500152,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579696871502104,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579696871524382,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579696871527674,300000000000000000017882,4,-59,865.7,192.168.0.10
1579696871572948,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696871588832,245390003869,1,-58.5,865.7,192.168.0.10
1579696871599399,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696871625168,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696871648076,300000000000000000017882,2,-56,865.7,192.168.0.10
1579696871681515,30000000000000000001785A,3,-54,865.7,192.168.0.10
1579696871684781,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579696871698460,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696871723504,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696871726105,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696871743321,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696871770128,245390003868,4,-61,865.7,192.168.0.10
1579696871772804,300000000000000000017857,4,-58,865.7,192.168.0.10
1579696871774058,300000000000000000017882,4,-59,865.7,192.168.0.10
1579696871799936,300000000000000000017882,4,-59,865.7,192.168.0.10
1579696871801926,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579696871803533,245390003868,4,-60.5,865.7,192.168.0.10
1579696871836934,245390003869,1,-58.5,865.7,192.168.0.10
1579696871839638,245390003868,1,-61,865.7,192.168.0.10
1579696871855972,300000000000000000017882,1,-61.5,865.7,192.168.0.10
1579696871876983,245390003868,1,-60.5,865.7,192.168.0.10
1579696871877949,245390003869,1,-58.5,865.7,192.168.0.10
1579696871892879,300000000000000000017882,1,-61.5,865.7,192.168.0.10
1579696871926216,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696871951880,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696871986795,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696871987905,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696872015444,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696872036862,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696872037964,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696872050132,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579696872071221,300000000000000000017882,4,-59.5,865.7,192.168.0.10
1579696872074753,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579696872093065,245390003868,4,-63.5,865.7,192.168.0.10
1579696872109449,300000000000000000017882,4,-59,865.7,192.168.0.10
1579696872112996,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696872148217,245390003869,1,-58.5,865.7,192.168.0.10
1579696872163229,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696872177321,245390003869,1,-58.5,865.7,192.168.0.10
1579696872180475,245390003868,1,-61.5,865.7,192.168.0.10
1579696872193069,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696872214462,300000000000000000017882,2,-55,865.7,192.168.0.10
1579696872244912,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696872278303,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696872280532,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696872298560,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579696872313620,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696872317288,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696872329215,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696872362543,300000000000000000017882,4,-59.5,865.7,192.168.0.10
1579696872365992,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696872388477,245390003868,4,-64,865.7,192.168.0.10
1579696872397915,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696872399738,300000000000000000017882,4,-59.5,865.7,192.168.0.10
1579696872435812,245390003869,1,-58.5,865.7,192.168.0.10
1579696872452779,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696872466209,245390003868,1,-62,865.7,192.168.0.10
1579696872470903,245390003869,1,-58,865.7,192.168.0.10
1579696872491414,300000000000000000017882,1,-61.5,865.7,192.168.0.10
1579696872498847,245390003868,1,-62.5,865.7,192.168.0.10
1579696872522650,300000000000000000017882,2,-56,865.7,192.168.0.10
1579696872543850,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696872577612,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696872581831,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696872599854,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696872619445,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696872624308,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696872638069,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696872665155,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696872669179,300000000000000000017882,4,-60,865.7,192.168.0.10
1579696872697226,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696872698352,300000000000000000017882,4,-59.5,865.7,192.168.0.10
1579696872726456,245390003868,1,-61.5,865.7,192.168.0.10
1579696872728304,245390003869,1,-58,865.7,192.168.0.10
1579696872738296,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579696872757470,245390003869,1,-58,865.7,192.168.0.10
1579696872759061,245390003868,1,-61.5,865.7,192.168.0.10
1579696872773665,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696872805662,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696872834227,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696872858499,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696872860951,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696872875042,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696872900618,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696872904757,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579696872924860,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579696872951862,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696872953828,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579696872980080,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696872982560,300000000000000000017882,4,-59,865.7,192.168.0.10
1579696873020089,245390003868,1,-62,865.7,192.168.0.10
1579696873021125,245390003869,1,-58,865.7,192.168.0.10
1579696873030485,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579696873047351,245390003869,1,-57.5,865.7,192.168.0.10
1579696873049153,245390003868,1,-62,865.7,192.168.0.10
1579696873068958,300000000000000000017882,1,-61.5,865.7,192.168.0.10
1579696873094884,300000000000000000017882,2,-56,865.7,192.168.0.10
1579696873123018,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696873160467,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579696873162097,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696873176204,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696873200688,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696873201791,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696873223371,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579696873248191,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696873250987,300000000000000000017882,4,-59,865.7,192.168.0.10
1579696873275526,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579696873279743,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696873314290,245390003869,1,-58.5,865.7,192.168.0.10
1579696873317222,245390003868,1,-61,865.7,192.168.0.10
1579696873324567,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579696873343942,245390003869,1,-59,865.7,192.168.0.10
1579696873345903,245390003868,1,-60.5,865.7,192.168.0.10
1579696873356270,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696873390922,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696873416621,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696873455524,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696873457010,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696873481060,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579696873494251,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696873497256,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579696873516028,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579696873543300,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579696873546763,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579696873573526,300000000000000000017882,4,-59,865.7,192.168.0.10
1579696873576090,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579696873608848,245390003869,1,-59,865.7,192.168.0.10
1579696873612497,245390003868,1,-61,865.7,192.168.0.10
1579696873624542,300000000000000000017882,1,-61.5,865.7,192.168.0.10
1579696873637489,245390003869,1,-59,865.7,192.168.0.10
1579696873642847,245390003868,1,-61,865.7,192.168.0.10
1579696873656558,300000000000000000017882,1,-62,865.7,192.168.0.10
1579696873673414,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579696873695091,300000000000000000017882,2,-56,865.7,192.168.0.10
1579696873727484,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579696873730065,30000000000000000001785A,3,-55,865.7,192.168.0.10
1579696873741130,300000000000000000017882,3,-63,865.7,192.168.0.10
1579696873768228,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579696873770800,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696873794184,300000000000000000017882,3,-63,865.7,192.168.0.10
1579696873813281,300000000000000000017857,4,-58.5,865.7,192.168.0.10
1579696873814805,300000000000000000017882,4,-58,865.7,192.168.0.10
1579696873839377,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579696873840684,300000000000000000017857,4,-59,865.7,192.168.0.10
1579696873867543,245390003868,1,-61,865.7,192.168.0.10
1579696873869193,245390003869,1,-59,865.7,192.168.0.10
1579696873883411,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579696873906349,245390003869,1,-58,865.7,192.168.0.10
1579696873909403,245390003868,1,-61.5,865.7,192.168.0.10
1579696873970862,300000000000000000017882,2,-56,865.7,192.168.0.10
1579696874006281,245390003869,3,-59.5,865.7,192.168.0.10
1579696874007993,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696874013658,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579696874028004,300000000000000000017882,3,-62,865.7,192.168.0.10
1579696874051825,30000000000000000001785A,3,-54.5,865.7,192.168.0.10
1579696874055312,245390003869,3,-60,865.7,192.168.0.10
1579696874059290,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579696874084584,300000000000000000017882,3,-62,865.7,192.168.0.10
