// 11/02/2020 16:56:24
// AntennaIDs=1,2,3,4, InventoryMode=Dual_Target, ModeIndex=1000, Population=32, PowerIndex=69, Session=1, ReaderName=192.168.0.10
// Timestamp, EPC, Antenna, RSSI, Channel, Address
1581427822525476,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427822537518,90134BC1F1CE3781AEA1001A,1,-61.5,865.7,192.168.0.10
1581427822562705,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
1581427822584707,90134BC1F1CE3781AEA1001A,1,-61.5,865.7,192.168.0.10
1581427822629726,90134BC1F1CE3781AEA10023,2,-60.5,865.7,192.168.0.10
1581427822660602,90134BC1F1CE3781AEA10023,2,-60.5,865.7,192.168.0.10
1581427822710307,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427822743228,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427822841490,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
1581427822855731,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427822869049,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
1581427822894682,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427822936056,90134BC1F1CE3781AEA10023,2,-60.5,865.7,192.168.0.10
1581427822977708,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427823011460,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427823044957,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427823142326,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427823149546,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427823167365,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427823190178,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427823238535,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427823272756,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427823321089,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427823360903,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427823452635,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427823472492,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427823492591,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427823503911,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427823545867,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427823583730,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427823625070,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427823673350,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427823764026,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
1581427823777483,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427823800108,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
1581427823816609,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427823863406,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427823899301,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427823939162,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427823977159,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427824072328,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427824088562,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427824108425,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427824125639,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427824174073,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427824217104,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427824263713,90134BC1F1CE3781AEA10012,3,-60.5,865.7,192.168.0.10
1581427824299906,90134BC1F1CE3781AEA10012,3,-60.5,865.7,192.168.0.10
1581427824394774,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427824410082,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427824433864,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427824445486,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427824495499,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427824531689,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427824585545,90134BC1F1CE3781AEA10012,3,-60.5,865.7,192.168.0.10
1581427824610563,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427824701385,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427824724675,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427824742632,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
1581427824763415,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427824802927,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427824845375,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427824889716,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427824927597,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427825018911,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427825037398,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427825059376,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427825079424,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427825120745,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427825158617,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427825205163,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427825243113,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427825335951,90134BC1F1CE3781AEA1001A,1,-60.5,865.7,192.168.0.10
1581427825337893,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
