// 11/02/2020 16:52:18
// AntennaIDs=1,2,3,4, InventoryMode=Dual_Target, ModeIndex=1000, Population=32, PowerIndex=69, Session=1, ReaderName=192.168.0.10
// Timestamp, EPC, Antenna, RSSI, Channel, Address
1581427576412149,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427576430603,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427576452288,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427576470655,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427576514912,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427576549190,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427576598848,E28068900000000018344AC5,3,-69,865.7,192.168.0.10
1581427576636619,E28068900000000018344AC5,3,-69,865.7,192.168.0.10
1581427576729672,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427576751204,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427576769270,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427576787918,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427576829312,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427576874166,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427577029839,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427577046451,90134BC1F1CE3781AEA10009,1,-60,865.7,192.168.0.10
1581427577061257,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427577080554,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427577097328,90134BC1F1CE3781AEA10009,1,-60,865.7,192.168.0.10
1581427577107136,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427577159085,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427577198334,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427577339542,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427577352499,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427577377985,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427577393110,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427577438430,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427577474409,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427577627455,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427577647208,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427577668903,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427577684210,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427577723738,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427577759505,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427577910323,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427577927079,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427577950416,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427577965039,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427577996812,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427578032725,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427578182040,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427578192356,90134BC1F1CE3781AEA10009,1,-60,865.7,192.168.0.10
1581427578208904,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427578230618,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427578243455,90134BC1F1CE3781AEA10009,1,-60,865.7,192.168.0.10
1581427578253152,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427578308013,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427578354130,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427578375619,3005FB63AC1F3681EC881448,3,-59.5,865.7,192.168.0.10
1581427578408109,3005FB63AC1F3681EC881448,3,-60,865.7,192.168.0.10
1581427578510461,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581427578530123,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581427578585715,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427578632591,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427578653456,E28068900000000018344989,3,-67.5,865.7,192.168.0.10
1581427578665082,0000FB63AC1F3681EC880468,3,-66,865.7,192.168.0.10
1581427578709167,E28068900000000018344989,3,-67.5,865.7,192.168.0.10
1581427578802649,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427578821487,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427578834520,E28068900000000018345317,1,-58.5,865.7,192.168.0.10
1581427578847189,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427578897652,3005FB63AC1F3681EC881448,2,-62.5,865.7,192.168.0.10
1581427578908992,90134BC1F1CE3781AEA10023,2,-62.5,865.7,192.168.0.10
1581427578945488,90134BC1F1CE3781AEA10023,2,-62,865.7,192.168.0.10
1581427578958272,3005FB63AC1F3681EC881448,2,-64,865.7,192.168.0.10
1581427578999585,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427579016124,3005FB63AC1F3681EC881318,3,-63.5,865.7,192.168.0.10
1581427579025798,3005FB63AC1F3681EC880468,3,-63.5,865.7,192.168.0.10
1581427579054341,3005FB63AC1F3681EC881318,3,-63,865.7,192.168.0.10
1581427579064077,90134BC1F1CE3781AEA10012,3,-60.5,865.7,192.168.0.10
1581427579153400,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427579157439,3005FB63AC1F3681EC881448,1,-59.5,865.7,192.168.0.10
1581427579175810,3005FB63AC1F3681EC880468,1,-62.5,865.7,192.168.0.10
1581427579187284,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427579204851,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427579211623,3005FB63AC1F3681EC881448,1,-59,865.7,192.168.0.10
1581427579218790,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427579265325,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427579307923,90134BC1F1CE3781AEA10023,2,-61,865.7,192.168.0.10
1581427579349616,90134BC1F1CE3781AEA10012,3,-60.5,865.7,192.168.0.10
1581427579362705,30000000000000000001786A,3,-60,865.7,192.168.0.10
1581427579382486,3005FB63AC1F3681EC880468,3,-61,865.7,192.168.0.10
1581427579397169,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427579408437,30000000000000000001786A,3,-59.5,865.7,192.168.0.10
1581427579511952,90134BC1F1CE3781AEA10005,1,-60.5,865.7,192.168.0.10
1581427579514045,7336CEF1C1FE3682DEA1004A,1,-58.5,865.7,192.168.0.10
1581427579516005,90144BC1F1CE3681EA880811,1,-59.5,865.7,192.168.0.10
1581427579517358,90134BC1F1CE3781AEA10009,1,-56.5,865.7,192.168.0.10
1581427579518460,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427579520327,7336CEF1C1FE3682DEA10046,1,-61,865.7,192.168.0.10
1581427579549901,90134BC1F1CE3781AEA1001A,1,-63,865.7,192.168.0.10
1581427579555330,3005FB63AC1F3681EC8805A9,1,-62,865.7,192.168.0.10
1581427579566901,90144BC1F1CE3681EA880811,1,-60,865.7,192.168.0.10
1581427579568590,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427579577156,7336CEF1C1FE3682DEA1004A,1,-58.5,865.7,192.168.0.10
1581427579590862,90134BC1F1CE3781AEA10005,1,-64,865.7,192.168.0.10
1581427579596992,90134BC1F1CE3781AEA10009,1,-59.5,865.7,192.168.0.10
1581427579605098,3005FB63AC1F3681EC8805A9,1,-61.5,865.7,192.168.0.10
1581427579636527,3005FB63AC1F3681EC881448,2,-61,865.7,192.168.0.10
1581427579647961,3005FB63AC1F3681EC881318,2,-65,865.7,192.168.0.10
1581427579659275,90134BC1F1CE3781AEA10023,2,-61.5,865.7,192.168.0.10
1581427579689779,3005FB63AC1F3681EC881318,2,-64.5,865.7,192.168.0.10
1581427579701048,3005FB63AC1F3681EC881448,2,-61,865.7,192.168.0.10
1581427579727274,3005FB63AC1F3681EC880468,3,-60.5,865.7,192.168.0.10
1581427579746287,2005FB63EAC13681E4EC0FD2,3,-65,865.7,192.168.0.10
1581427579755989,3005FB63AC1F3681EC881318,3,-63,865.7,192.168.0.10
1581427579765620,3005FB63AC1F3681EC88132C,3,-59,865.7,192.168.0.10
1581427579772446,3005FB63AC1F3681EC880468,3,-60.5,865.7,192.168.0.10
1581427579790393,3005FB63AC1F3681EC881318,3,-64,865.7,192.168.0.10
1581427579875010,E28068900000000018345317,1,-62,865.7,192.168.0.10
1581427579902188,3005FB63AC1F3681EC8811B0,1,-61,865.7,192.168.0.10
1581427579911980,1007FB63AC1F3681EC880468,1,-59,865.7,192.168.0.10
1581427579921643,3005FB63AC1F3681EC8814B7,1,-63,865.7,192.168.0.10
1581427579933048,E28068900000000018345317,1,-62.5,865.7,192.168.0.10
1581427579972376,3005FB63AC1F3681EC881448,2,-62,865.7,192.168.0.10
1581427579974997,3005FB63AC1F3681EC881318,2,-58,865.7,192.168.0.10
1581427579976762,7336CEF1C1FE3682DEA1004A,2,-59,865.7,192.168.0.10
1581427579980143,90134BC1F1CE3781AEA10023,2,-59.5,865.7,192.168.0.10
1581427579992483,0000FB63AC1F3681EC880468,2,-64,865.7,192.168.0.10
1581427580002149,3005FB63AC1F3681EC880468,2,-61.5,865.7,192.168.0.10
1581427580018294,90144BC1F1CE3681EA880811,2,-62,865.7,192.168.0.10
1581427580028020,7336CEF1C1FE3682DEA1004A,2,-59,865.7,192.168.0.10
1581427580029628,3005FB63AC1F3681EC881318,2,-57,865.7,192.168.0.10
1581427580033371,90134BC1F1CE3781AEA10023,2,-60.5,865.7,192.168.0.10
1581427580047157,3005FB63AC1F3681EC880468,2,-62.5,865.7,192.168.0.10
1581427580060127,0000FB63AC1F3681EC880468,2,-62,865.7,192.168.0.10
1581427580069770,7336CEF1C1FE3682DEA10046,2,-63,865.7,192.168.0.10
1581427580084015,3005FB63AC1F3681EC880468,3,-61,865.7,192.168.0.10
1581427580104261,7336CEF1C1FE3682DEA1004A,3,-61,865.7,192.168.0.10
1581427580113890,3005FB63AC1F3681EC88132C,3,-59.5,865.7,192.168.0.10
1581427580123556,90134BC1F1CE3781AEA10012,3,-62,865.7,192.168.0.10
1581427580132584,7336CEF1C1FE3682DEA1004A,3,-60,865.7,192.168.0.10
1581427580133616,3005FB63AC1F3681EC881448,3,-60.5,865.7,192.168.0.10
1581427580136693,3005FB63AC1F3681EC880468,3,-61,865.7,192.168.0.10
1581427580359368,3005FB63AC1F3681EC8814C1,1,-60,865.7,192.168.0.10
1581427580371855,90144BC1F1CE3681EA880811,1,-65.5,865.7,192.168.0.10
1581427580379921,7336CEF1C1FE3682DEA1004A,1,-63.5,865.7,192.168.0.10
1581427580385961,90134BC1F1CE3781AEA10009,1,-54.5,865.7,192.168.0.10
1581427580434581,3005FB63AC1F3681EC880468,2,-57.5,865.7,192.168.0.10
1581427580436269,3005FB63AC1F3681EC8812DB,2,-57,865.7,192.168.0.10
1581427580443146,3005FB63AC1F3681EC881318,2,-57.5,865.7,192.168.0.10
1581427580444241,0000FB63AC1F3681EC880468,2,-59.5,865.7,192.168.0.10
1581427580449792,3005FB63AC1F3681EC88149C,2,-57.5,865.7,192.168.0.10
1581427580452294,3005FB63AC1F3681EC881490,2,-58.5,865.7,192.168.0.10
1581427580453427,3005FB63AC1F3681EC881448,2,-61,865.7,192.168.0.10
1581427580454808,3005FB63AC1F3681EC880468,2,-58,865.7,192.168.0.10
1581427580455937,2005FB63AC1F3681AB1004E3,2,-60.5,865.7,192.168.0.10
1581427580466635,3005FB63AC1F3681EC880468,2,-59,865.7,192.168.0.10
1581427580480423,2005FB63EAC13681E4EC0F4F,2,-62.5,865.7,192.168.0.10
1581427580490071,3005FB63AC1F3681EC880468,2,-60.5,865.7,192.168.0.10
1581427580499717,3005FB63AC1F3681EC8812AB,2,-60,865.7,192.168.0.10
1581427580507223,3005FB63AC1F3681EC88149C,2,-57.5,865.7,192.168.0.10
1581427580508625,3005FB63AC1F3681EC881490,2,-60,865.7,192.168.0.10
1581427580509739,3005FB63AC1F3681EC8812DB,2,-58.5,865.7,192.168.0.10
1581427580511363,3005FB63AC1F3681EC880468,2,-59,865.7,192.168.0.10
1581427580513509,0000FB63AC1F3681EC880468,2,-59.5,865.7,192.168.0.10
1581427580514664,3005FB63AC1F3681EC880468,2,-59,865.7,192.168.0.10
1581427580516938,3005FB63AC1F3681EC881448,2,-61.5,865.7,192.168.0.10
1581427580518250,3005FB63AC1F3681EC881318,2,-58,865.7,192.168.0.10
1581427580520659,2005FB63AC1F3681AB1004E3,2,-62,865.7,192.168.0.10
1581427580540397,3005FB63AC1F3681EC880468,2,-60,865.7,192.168.0.10
1581427580551581,2005FB63EAC13681E4EC0F4F,2,-62.5,865.7,192.168.0.10
1581427580566263,3005FB63AC1F3681EC880468,2,-60.5,865.7,192.168.0.10
1581427580580920,3005FB63AC1F3681EC880468,3,-59.5,865.7,192.168.0.10
1581427580588980,3005FB63AC1F3681EC881448,3,-62,865.7,192.168.0.10
1581427580607458,3005FB63AC1F3681EC88134B,3,-66.5,865.7,192.168.0.10
1581427580617220,3005FB63AC1F3681EC881318,3,-62.5,865.7,192.168.0.10
1581427580630244,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427580642329,3005FB63AC1F3681EC881448,3,-61.5,865.7,192.168.0.10
1581427580660423,3005FB63AC1F3681EC881318,3,-63.5,865.7,192.168.0.10
1581427580671639,3005FB63AC1F3681EC88134B,3,-66,865.7,192.168.0.10
1581427580681216,3005FB63AC1F3681EC88132C,3,-59,865.7,192.168.0.10
1581427580759812,90134BC1F1CE3781AEA1001A,1,-60.5,865.7,192.168.0.10
1581427580761973,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581427580765760,90134BC1F1CE3781AEA10009,1,-56,865.7,192.168.0.10
1581427580784637,90134BC1F1CE3781AEA10009,1,-57,865.7,192.168.0.10
1581427580787760,90134BC1F1CE3781AEA1001A,1,-60.5,865.7,192.168.0.10
1581427580789176,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581427580816390,3005FB63AC1F3681EC881318,2,-58,865.7,192.168.0.10
1581427580829413,3005FB63AC1F3681EC881490,2,-59.5,865.7,192.168.0.10
1581427580835666,3005FB63AC1F3681EC88149C,2,-61.5,865.7,192.168.0.10
1581427580837358,0000FB63AC1F3681EC880468,2,-60.5,865.7,192.168.0.10
1581427580839697,3005FB63AC1F3681EC880468,2,-59,865.7,192.168.0.10
1581427580840763,3005FB63AC1F3681EC881448,2,-57,865.7,192.168.0.10
1581427580841853,3005FB63AC1F3681EC8811B0,2,-60,865.7,192.168.0.10
1581427580851270,0000FB63AC1F3681EC880468,2,-61.5,865.7,192.168.0.10
1581427580853762,3005FB63AC1F3681EC88134B,2,-63.5,865.7,192.168.0.10
1581427580873284,E28068900000000018343767,2,-67,865.7,192.168.0.10
1581427580887550,2005FB63EAC13681E5C6028D,2,-63.5,865.7,192.168.0.10
1581427580897105,2005FB63EAC13681E4EC0F50,2,-61,865.7,192.168.0.10
1581427580905515,3005FB63AC1F3681EC880468,2,-60,865.7,192.168.0.10
1581427580911763,3005FB63AC1F3681EC881448,2,-55.5,865.7,192.168.0.10
1581427580913297,3005FB63AC1F3681EC881318,2,-56.5,865.7,192.168.0.10
1581427580914674,0000FB63AC1F3681EC880468,2,-60,865.7,192.168.0.10
1581427580919367,0000FB63AC1F3681EC880468,2,-60.5,865.7,192.168.0.10
1581427580920951,3005FB63AC1F3681EC88134B,2,-60,865.7,192.168.0.10
1581427580922279,3005FB63AC1F3681EC881490,2,-61,865.7,192.168.0.10
1581427580934120,3005FB63AC1F3681EC8811B0,2,-61.5,865.7,192.168.0.10
1581427580949601,3005FB63AC1F3681EC88149C,2,-63,865.7,192.168.0.10
1581427580960922,3005FB63AC1F3681EC880468,2,-61.5,865.7,192.168.0.10
1581427581006100,2005FB63EAC13681E5C602A1,3,-68.5,865.7,192.168.0.10
1581427581015865,90134BC1F1CE3781AEA10012,3,-61,865.7,192.168.0.10
1581427581027362,1007FB63AC1F3681EC880468,3,-63,865.7,192.168.0.10
1581427581049322,3005FB63AC1F3681EC88132C,3,-58.5,865.7,192.168.0.10
1581427581060703,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427581173488,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427581187885,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427581198958,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427581216668,90134BC1F1CE3781AEA1001A,1,-62,865.7,192.168.0.10
1581427581246606,3005FB63AC1F3681EC880468,2,-59.5,865.7,192.168.0.10
1581427581250742,2005FB63EAC13681E4EC0F4C,2,-61,865.7,192.168.0.10
1581427581254097,3005FB63AC1F3681EC88149C,2,-60.5,865.7,192.168.0.10
1581427581255922,0000FB63AC1F3681EC880468,2,-57.5,865.7,192.168.0.10
1581427581257485,3005FB63AC1F3681EC881448,2,-54.5,865.7,192.168.0.10
1581427581259610,3005FB63AC1F3681EC881318,2,-56.5,865.7,192.168.0.10
1581427581265468,3005FB63AC1F3681EC881490,2,-61,865.7,192.168.0.10
1581427581271079,3005FB63AC1F3681EC88134B,2,-59.5,865.7,192.168.0.10
1581427581274803,3005FB63AC1F3681EC8811B0,2,-58.5,865.7,192.168.0.10
1581427581277859,2005FB63EAC13681E4EC0F4F,2,-62,865.7,192.168.0.10
1581427581288392,2005FB63AC1F3681AB10052A,2,-59,865.7,192.168.0.10
1581427581301838,2005FB63EAC13681E4EC0F50,2,-62,865.7,192.168.0.10
1581427581320629,3005FB63AC1F3681EC880468,2,-63,865.7,192.168.0.10
1581427581327804,3005FB63AC1F3681EC8811B0,2,-59.5,865.7,192.168.0.10
1581427581331820,2005FB63EAC13681E4EC0F4F,2,-62,865.7,192.168.0.10
1581427581334233,3005FB63AC1F3681EC881318,2,-58,865.7,192.168.0.10
1581427581336526,3005FB63AC1F3681EC881448,2,-57,865.7,192.168.0.10
1581427581338879,3005FB63AC1F3681EC880468,2,-59.5,865.7,192.168.0.10
1581427581341223,3005FB63AC1F3681EC88134B,2,-61,865.7,192.168.0.10
1581427581344113,0000FB63AC1F3681EC880468,2,-59,865.7,192.168.0.10
1581427581347304,3005FB63AC1F3681EC880468,2,-58.5,865.7,192.168.0.10
1581427581361731,2005FB63EAC13681E4EC0F4C,2,-63.5,865.7,192.168.0.10
1581427581371501,3005FB63AC1F3681EC881490,2,-63.5,865.7,192.168.0.10
1581427581389754,2005FB63EAC13681E4EC0F50,2,-62.5,865.7,192.168.0.10
1581427581419628,3005FB63AC1F3681EC8811B0,3,-62.5,865.7,192.168.0.10
1581427581458713,3005FB63AC1F3681EC88149C,3,-64.5,865.7,192.168.0.10
1581427581476713,3005FB63AC1F3681EC8811B0,3,-62,865.7,192.168.0.10
1581427581569052,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427581587122,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427581598385,90134BC1F1CE3781AEA10009,1,-60,865.7,192.168.0.10
1581427581617854,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581427581647137,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427581668470,3005FB63AC1F3681EC881318,2,-60,865.7,192.168.0.10
1581427581684114,3005FB63AC1F3681EC881448,2,-61.5,865.7,192.168.0.10
1581427581710639,3005FB63AC1F3681EC881318,2,-59.5,865.7,192.168.0.10
1581427581722625,3005FB63AC1F3681EC881448,2,-61.5,865.7,192.168.0.10
1581427581769709,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427581786249,3005FB63AC1F3681EC8811B0,3,-63,865.7,192.168.0.10
1581427581814582,3005FB63AC1F3681EC8811B0,3,-64,865.7,192.168.0.10
1581427581834617,90134BC1F1CE3781AEA10012,3,-61.5,865.7,192.168.0.10
1581427581920665,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581427581945376,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427581958722,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581427581979461,90134BC1F1CE3781AEA1001A,1,-62.5,865.7,192.168.0.10
1581427582009338,3005FB63AC1F3681EC881448,2,-60.5,865.7,192.168.0.10
