ECP,RC,MIN,MAX,MEAN,START,END,DURATION,CV,A1,A2,A3,A4,FP,FP_LG,FP_KNN,FP_SVM,VERDICT
3005FB63AC1F3681EC8815B921,9,-58.5,-52.0,-56.555555555555564,1581420973596918,1581420974726948,1130030,-0.04007088026399045,3,0,6,0,0,0,0,0,0
E2806890000000001834376767,2,-63.0,-62.0,-62.5,1581427757606159,1581427757711480,105321,-0.008,0,0,2,0,0,0,0,0,0
E2806890000000001834531777,66,-63.5,-58.0,-60.04545454545455,1581426772161856,1581426781271598,9109742,-0.01688754265127644,66,0,0,0,1,1,1,1,1
2005FB63EAC13681E4EC0FD224,4,-65.0,-59.0,-62.0,1581420375415960,1581420375804651,388691,-0.03825335879235943,0,4,0,0,0,0,0,0,0
3005FB63AC1F3681EC88142830,7,-57.5,-45.0,-50.92857142857143,1581414771515647,1581414773005717,1490070,-0.08740777812557017,7,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88116627,2,-52.0,-52.0,-52.0,1581419573582440,1581419573687269,104829,-0.0,0,0,2,0,0,0,0,0,0
7336CEF1C1FE3682DEA1004C27,2,-54.5,-53.5,-54.0,1581419574129930,1581419574275670,145740,-0.009259259259259259,0,0,2,0,0,0,0,0,0
7336CEF1C1FE3682DEA1004A31,4,-60.0,-52.5,-56.0,1581415047199925,1581415047726415,526490,-0.0588879730280041,0,0,0,4,0,0,0,0,0
E2806890000000001834531775,62,-60.5,-57.5,-58.25806451612904,1581429871609955,1581429880213044,8603089,-0.013326474580906694,62,0,0,0,1,1,1,1,1
7336CEF1C1FE3682DEA1005027,2,-56.5,-56.5,-56.5,1581419574136143,1581419574289249,153106,-0.0,0,0,2,0,0,0,0,0,0
3005FB63AC1F3681EC88133870,1,-56.5,-56.5,-56.5,1581427432916752,1581427432916752,0,-0.0,1,0,0,0,0,0,0,0,0
3025AB20CA1F3681CF10111567,2,-60.0,-58.0,-59.0,1581427757059831,1581427757098035,38204,-0.01694915254237288,0,0,2,0,0,0,0,0,0
3005FB63AC1F3681EC8814B729,8,-60.0,-55.0,-56.3125,1581419787747333,1581419788972872,1225539,-0.031685022028013765,0,6,2,0,0,0,0,0,0
E280689000000000183444A467,2,-62.0,-61.5,-61.75,1581427757522664,1581427757756475,233811,-0.004048582995951417,0,0,2,0,0,0,0,0,0
2005FB63AC1F3681AB1005CE22,1,-60.5,-60.5,-60.5,1581420688734832,1581420688734832,0,-0.0,1,0,0,0,0,0,0,0,0
E2806890000000001834412028,2,-63.0,-62.5,-62.75,1581419885540439,1581419885603058,62619,-0.00398406374501992,0,2,0,0,0,0,0,0,0
2005FB63EAC13681E5C6025A30,7,-60.5,-48.5,-54.42857142857143,1581414771479125,1581414772891382,1412257,-0.08266674933345733,7,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8813AD67,10,-60.0,-48.0,-54.15,1581427756968717,1581427758050215,1081498,-0.0706899059849426,0,6,4,0,0,0,0,0,0
3005FB63AC1F3681EC8814A829,5,-58.0,-55.0,-56.4,1581419787392397,1581419788463332,1070935,-0.018930989808566157,0,0,5,0,0,0,0,0,0
