3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921120771,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921122540,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921123595,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022921124672,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022921125762,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921130804,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022921132646,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022921136068,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921138150,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921139293,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022921140900,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921143694,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022921144801,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921147776,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921149148,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921150280,1
E280 6890 0000 0000 1834 4F88,-60,5,1584022921151346,1
3005 FB63 AC1F 3681 EC88 0468,-60,1584022921155048,1
3000 0000 0000 0000 0001 7864,-60,5,1584022921157355,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921158454,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921163848,1
3005 FB63 AC1F 3681 EC88 1501,-59,1584022921180929,1
2005 FB63 EAC1 3681 E5C6 0293,-61,5,1584022921190762,1
3005 FB63 AC1F 3681 EC88 132C,-62,5,1584022921200365,1
1007 FB63 AC1F 3681 EC88 0468,-61,5,1584022921209202,1
E280 6890 0000 0000 1834 4F88,-61,1584022921212613,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022921213720,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022921214852,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921216225,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921217630,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921221255,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921222639,1
2005 FB63 EAC1 3681 E4EC 0FE9,-57,5,1584022921224001,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921225313,1
1007 FB63 AC1F 3681 EC88 0468,-57,5,1584022921228997,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921230840,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022921231940,1
3000 0000 0000 0000 0001 7864,-60,5,1584022921233296,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921235164,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022921237864,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921240615,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022921242385,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921243538,1
0000 FB63 AC1F 3681 EC88 0468,-58,1584022921245030,1
3005 FB63 AC1F 3681 EC88 1501,-59,1584022921257028,1
2005 FB63 EAC1 3681 E5C6 0293,-61,5,1584022921268535,1
3005 FB63 AC1F 3681 EC88 1166,-59,5,1584022921281735,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921323921,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022921325038,1
E280 6890 0000 0000 1834 4F88,-61,1584022921326654,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022921327739,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921329409,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022921331694,1
2005 FB63 EAC1 3681 E4EC 0FE9,-57,5,1584022921334458,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921337165,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921338221,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921339361,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921341223,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022921342606,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921343723,1
3005 FB63 AC1F 3681 EC88 0468,-60,1584022921345094,1
3000 0000 0000 0000 0001 7864,-60,1584022921349179,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921353349,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921357901,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921363178,1
E280 6890 0000 0000 1834 5CCE,-63,1584022921367059,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921368287,1
3005 FB63 AC1F 3681 EC88 132C,-62,5,1584022921382807,1
3005 FB63 AC1F 3681 EC88 1501,-59,1584022921397928,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921406212,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921407571,1
E280 6890 0000 0000 1834 4F88,-61,1584022921408624,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921410211,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022921411828,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921413683,1
3000 0000 0000 0000 0001 7864,-60,5,1584022921415026,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022921416118,1
3005 FB63 AC1F 3681 EC88 1318,-59,5,1584022921418417,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921419537,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022921420854,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921421965,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921423077,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022921424158,1
3005 FB63 AC1F 3681 EC88 0468,-57,1584022921425509,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921426791,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921427853,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022921429591,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921433549,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921434626,1
3005 FB63 AC1F 3681 EC88 0468,-60,1584022921435767,1
3005 FB63 AC1F 3681 EC88 132C,-62,5,1584022921453537,1
3005 FB63 AC1F 3681 EC88 0468,-60,1584022921508702,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921509763,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921511124,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921512451,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921513544,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921514646,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022921517187,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921519470,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022921521343,1
3025 AB20 CA1F 3681 CF10 1116,-50,1584022921522421,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921523777,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921524859,1
3000 0000 0000 0000 0001 7864,-60,1584022921525959,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022921528152,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022921529625,1
E280 6890 0000 0000 1834 4F88,-61,1584022921531928,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921537454,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921538935,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921543775,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921544803,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022921548283,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022921567733,1
2005 FB63 AC1F 3681 AB10 05CE,-64,5,1584022921579861,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921588433,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921589802,1
3025 AB20 CA1F 3681 CF10 1116,-50,1584022921591435,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921592548,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921595129,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921596749,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921598079,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022921599633,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921600736,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921602052,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921603132,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921604967,1
3000 0000 0000 0000 0001 7864,-60,1584022921606722,1
3005 FB63 AC1F 3681 EC88 11B0,-58,5,1584022921610809,1
2005 FB63 EAC1 3681 E5C6 02A1,-59,1584022921611928,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022921616289,1
E280 6890 0000 0000 1834 4F88,-60,5,1584022921617326,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921619419,1
3005 FB63 AC1F 3681 EC88 14A0,-53,5,1584022921620514,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022921621724,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022921623306,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022921640896,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921696441,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022921698264,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921699453,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022921700560,1
3005 FB63 AC1F 3681 EC88 1318,-59,5,1584022921702113,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022921703186,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921706452,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921707816,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022921712584,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921713710,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022921717355,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921718662,1
3000 0000 0000 0000 0001 7864,-60,1584022921720268,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921721390,1
3005 FB63 AC1F 3681 EC88 11B0,-58,5,1584022921723154,1
3005 FB63 AC1F 3681 EC88 12B7,-61,5,1584022921725240,1
E280 6890 0000 0000 1834 4F88,-61,1584022921726891,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921728903,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921732645,1
1007 CEA7 AC1F 3681 EC88 0468,-59,5,1584022921735245,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921740693,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022921754249,1
0000 FB63 AC1F 3681 EC88 0468,-61,1584022921763833,1
2005 FB63 CE45 3265 E5C6 1473,-62,1584022921776736,1
3000 0000 0000 0000 0001 7864,-60,1584022921785388,1
3005 FB63 AC1F 3681 EC88 11B0,-58,5,1584022921786478,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022921788559,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921789583,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921790946,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921792289,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921793414,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022921794535,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921798383,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921799510,1
3005 FB63 AC1F 3681 EC88 0468,-60,1584022921800866,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921802203,1
3005 FB63 AC1F 3681 EC88 05A9,-55,1584022921803702,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022921805914,1
E280 6890 0000 0000 1834 4F88,-61,1584022921807192,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921808790,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921809947,1
3005 FB63 AC1F 3681 EC88 1318,-59,5,1584022921811330,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921813544,1
2005 FB63 EAC1 3681 E4EC 0FE9,-57,5,1584022921814692,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921817190,1
0000 FB63 AC1F 3681 EC88 0468,-61,1584022921829296,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022921847501,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022921900629,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921902724,1
3005 FB63 AC1F 3681 EC88 11B0,-58,5,1584022921905748,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022921908740,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022921909831,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022921910987,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921914930,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921916073,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022921918320,1
3005 FB63 AC1F 3681 EC88 0468,-60,1584022921919606,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022921922052,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022921924389,1
3000 0000 0000 0000 0001 7864,-60,1584022921928056,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022921929119,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921930173,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022921931576,1
2005 FB63 EAC1 3681 E4EC 0FE9,-57,5,1584022921935378,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921936801,1
E280 6890 0000 0000 1834 4F88,-60,5,1584022921943008,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022921944196,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022921945799,1
2005 FB63 CE45 3265 E5C6 1473,-62,1584022921956615,1
3005 FB63 AC1F 3681 EC88 132C,-62,5,1584022921966224,1
2005 FB63 EAC1 3681 E5C6 0293,-61,5,1584022921978346,1
3005 FB63 AC1F 3681 EC88 1166,-59,5,1584022921987927,1
3005 FB63 AC1F 3681 EC88 1318,-59,5,1584022921990465,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022921991972,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022921993360,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022921994974,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022921996527,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022921997912,1
3000 0000 0000 0000 0001 7864,-60,1584022921999295,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022922004402,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022922006086,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022922007160,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022922008209,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022922009328,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022922010672,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022922012165,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022922013302,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022922014752,1
3005 FB63 AC1F 3681 EC88 0468,-57,1584022922017123,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022922020008,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022922021710,1
E280 6890 0000 0000 1834 4F88,-60,5,1584022922023019,1
2005 FB63 CE45 3265 E5C6 1473,-62,1584022922046549,1
3005 FB63 AC1F 3681 EC88 132C,-62,5,1584022922057968,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022922105825,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022922107157,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022922108285,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022922111257,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022922114316,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022922116301,1
3005 FB63 AC1F 3681 EC88 0468,-57,1584022922117711,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022922120504,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022922124964,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022922128136,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022922129217,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022922130348,1
3005 FB63 AC1F 3681 EC88 1318,-59,5,1584022922132534,1
E280 6890 0000 0000 1834 4F88,-61,1584022922134548,1
2005 FB63 EAC1 3681 E4EC 0FE9,-57,5,1584022922137663,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022922138778,1
3000 0000 0000 0000 0001 7864,-60,1584022922139920,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022922141548,1
E280 6890 0000 0000 1834 5CCE,-64,1584022922142870,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022922146405,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022922147640,1
3005 FB63 AC1F 3681 EC88 1501,-59,1584022922166702,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022922179341,1
E280 6890 0000 0000 1834 580A,-69,1584022922191832,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022922200590,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022922202395,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022922203763,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022922204880,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022922205921,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022922207802,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022922208954,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022922211561,1
E280 6890 0000 0000 1834 4F88,-61,1584022922214792,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022922216151,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022922218399,1
3025 AB20 CA1F 3681 CF10 1116,-50,1584022922220203,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022922221341,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022922222405,1
2005 FB63 EAC1 3681 E4EC 0FE9,-57,5,1584022922224662,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022922226712,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022922227785,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022922229396,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022922231634,1
3005 FB63 AC1F 3681 EC88 1166,-59,5,1584022922232869,1
3000 0000 0000 0000 0001 7864,-60,1584022922234206,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022922248595,1
3005 FB63 AC1F 3681 EC88 1501,-59,1584022922263262,1
3005 FB63 AC1F 3681 EC88 1318,-59,5,1584022922315220,1
3005 FB63 AC1F 3681 EC88 1166,-59,1584022922316355,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022922319650,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022922320750,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022922321864,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022922323305,1
3000 0000 0000 0000 0001 7864,-60,1584022922324404,1
3025 AB20 CA1F 3681 CF10 1116,-50,1584022922326677,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022922329220,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022922331036,1
E280 6890 0000 0000 1834 5CCE,-63,5,1584022922332616,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022922333725,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022922335796,1
3005 FB63 AC1F 3681 EC88 11B0,-58,1584022922337980,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022922346247,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022922348639,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022922350353,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022922351515,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022922353342,1
E280 6890 0000 0000 1834 4F88,-61,1584022922358981,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022922360024,1
3005 FB63 AC1F 3681 EC88 1501,-59,1584022922372675,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022922388018,1
2005 FB63 CE45 3265 E5C6 1473,-62,1584022922399344,1
1007 FB63 AC1F 3681 EC88 0468,-58,1584022922408441,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022922409547,1
0000 FB63 AC1F 3681 EC88 0468,-58,5,1584022922410894,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022922412034,1
3025 AB20 CA1F 3681 CF10 1116,-50,5,1584022922413154,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022922414525,1
3005 FB63 AC1F 3681 EC88 05A9,-55,5,1584022922417162,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022922418956,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022922420795,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022922422139,1
3005 FB63 AC1F 3681 EC88 11B0,-58,5,1584022922423254,1
3000 0000 0000 0000 0001 7864,-60,5,1584022922425488,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022922427687,1
3005 FB63 AC1F 3681 EC88 0468,-60,5,1584022922428771,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022922430174,1
2005 FB63 EAC1 3681 E5C6 02A1,-58,5,1584022922432317,1
E280 6890 0000 0000 1834 4F88,-61,1584022922435975,1
3005 FB63 AC1F 3681 EC88 0468,-56,5,1584022922437426,1
E280 6890 0000 0000 1834 5CCE,-63,1584022922438711,1
3005 FB63 AC1F 3681 EC88 1166,-59,5,1584022922439917,1
1007 FB63 AC1F 3681 EC88 0468,-57,5,1584022922441029,1
3005 FB63 AC1F 3681 EC88 1378,-60,1584022922451442,1
3005 FB63 AC1F 3681 EC88 1501,-59,1584022922462565,1
3005 FB63 AC1F 3681 EC88 12B7,-61,1584022922525882,1
3000 0000 0000 0000 0001 7864,-60,1584022922526964,1
1007 FB63 AC1F 3681 EC88 0468,-58,5,1584022922528935,1
2005 FB63 EAC1 3681 E4EC 0FE9,-58,1584022922531961,1
3025 AB20 CA1F 3681 CF10 1116,-50,1584022922536838,1
3005 FB63 AC1F 3681 EC88 14A0,-54,1584022922538008,1
E280 6890 0000 0000 1834 4F88,-61,1584022922539045,1
3005 FB63 AC1F 3681 EC88 1318,-60,1584022922541296,1
3005 FB63 AC1F 3681 EC88 149C,-58,1584022922543229,1
1007 FB63 AC1F 3681 EC88 0468,-62,1584022922544297,1
9013 4BC1 F1CE 3781 AEA1 0012,-52,5,1584022922548346,1
1007 CEA7 AC1F 3681 EC88 0468,-60,1584022922549703,1
